,ds,y,unique_id
308,2024-02-19 10:00:00,0.0,1
309,2024-02-19 11:00:00,0.0,1
310,2024-02-19 12:00:00,0.0,1
311,2024-02-19 13:00:00,0.0,1
312,2024-02-19 14:00:00,0.0,1
313,2024-02-19 15:00:00,0.0,1
314,2024-02-19 16:00:00,0.0,1
315,2024-02-19 17:00:00,0.0,1
316,2024-02-19 18:00:00,0.0,1
317,2024-02-19 19:00:00,0.0,1
318,2024-02-19 20:00:00,0.0,1
319,2024-02-19 21:00:00,0.0,1
320,2024-02-19 22:00:00,0.0,1
321,2024-02-19 23:00:00,0.0,1
322,2024-02-20 00:00:00,0.0,1
323,2024-02-20 01:00:00,0.0,1
324,2024-02-20 02:00:00,0.0,1
325,2024-02-20 03:00:00,0.0,1
326,2024-02-20 04:00:00,0.0,1
327,2024-02-20 05:00:00,0.0,1
328,2024-02-20 06:00:00,0.0,1
329,2024-02-20 07:00:00,0.0,1
330,2024-02-20 08:00:00,0.0,1
331,2024-02-20 09:00:00,4424.0,1
332,2024-02-20 10:00:00,8.8,1
333,2024-02-20 11:00:00,8.0,1
334,2024-02-20 12:00:00,8.0,1
335,2024-02-20 13:00:00,8.0,1
336,2024-02-20 14:00:00,1418.4,1
337,2024-02-20 15:00:00,93.6,1
338,2024-02-20 16:00:00,72.0,1
339,2024-02-20 17:00:00,82.4,1
340,2024-02-20 18:00:00,85.60000000000001,1
341,2024-02-20 19:00:00,84.80000000000001,1
342,2024-02-20 20:00:00,136.8,1
343,2024-02-20 21:00:00,8.0,1
344,2024-02-20 22:00:00,8.0,1
345,2024-02-20 23:00:00,8.0,1
346,2024-02-21 00:00:00,8.0,1
347,2024-02-21 01:00:00,0.0,1
348,2024-02-21 02:00:00,0.0,1
349,2024-02-21 03:00:00,0.0,1
350,2024-02-21 04:00:00,0.0,1
351,2024-02-21 05:00:00,0.0,1
352,2024-02-21 06:00:00,0.0,1
353,2024-02-21 07:00:00,0.0,1
354,2024-02-21 08:00:00,0.0,1
355,2024-02-21 09:00:00,4424.0,1
356,2024-02-21 10:00:00,8.8,1
357,2024-02-21 11:00:00,8.0,1
358,2024-02-21 12:00:00,8.8,1
359,2024-02-21 13:00:00,8.0,1
360,2024-02-21 14:00:00,694.4000000000001,1
361,2024-02-21 15:00:00,77.60000000000001,1
362,2024-02-21 16:00:00,70.4,1
363,2024-02-21 17:00:00,136.8,1
364,2024-02-21 18:00:00,223.2,1
365,2024-02-21 19:00:00,112.8,1
366,2024-02-21 20:00:00,143.20000000000002,1
367,2024-02-21 21:00:00,8.0,1
368,2024-02-21 22:00:00,8.0,1
369,2024-02-21 23:00:00,8.0,1
370,2024-02-22 00:00:00,8.0,1
371,2024-02-22 01:00:00,0.0,1
372,2024-02-22 02:00:00,0.0,1
373,2024-02-22 03:00:00,0.0,1
374,2024-02-22 04:00:00,0.0,1
375,2024-02-22 05:00:00,0.0,1
376,2024-02-22 06:00:00,0.0,1
377,2024-02-22 07:00:00,0.0,1
378,2024-02-22 08:00:00,0.0,1
379,2024-02-22 09:00:00,4426.400000000001,1
380,2024-02-22 10:00:00,8.8,1
381,2024-02-22 11:00:00,8.0,1
382,2024-02-22 12:00:00,8.8,1
383,2024-02-22 13:00:00,8.0,1
384,2024-02-22 14:00:00,605.6,1
385,2024-02-22 15:00:00,167.20000000000002,1
386,2024-02-22 16:00:00,76.0,1
387,2024-02-22 17:00:00,55.2,1
388,2024-02-22 18:00:00,104.0,1
389,2024-02-22 19:00:00,109.6,1
390,2024-02-22 20:00:00,136.0,1
391,2024-02-22 21:00:00,8.0,1
392,2024-02-22 22:00:00,8.0,1
393,2024-02-22 23:00:00,8.0,1
394,2024-02-23 00:00:00,8.0,1
395,2024-02-23 01:00:00,0.0,1
396,2024-02-23 02:00:00,0.0,1
397,2024-02-23 03:00:00,0.0,1
398,2024-02-23 04:00:00,0.0,1
399,2024-02-23 05:00:00,0.0,1
400,2024-02-23 06:00:00,0.0,1
401,2024-02-23 07:00:00,0.0,1
402,2024-02-23 08:00:00,0.0,1
403,2024-02-23 09:00:00,4425.6,1
404,2024-02-23 10:00:00,8.8,1
405,2024-02-23 11:00:00,8.8,1
406,2024-02-23 12:00:00,8.8,1
407,2024-02-23 13:00:00,8.0,1
408,2024-02-23 14:00:00,638.4000000000001,1
409,2024-02-23 15:00:00,70.4,1
410,2024-02-23 16:00:00,107.2,1
411,2024-02-23 17:00:00,66.4,1
412,2024-02-23 18:00:00,90.4,1
413,2024-02-23 19:00:00,76.0,1
414,2024-02-23 20:00:00,156.0,1
415,2024-02-23 21:00:00,8.8,1
416,2024-02-23 22:00:00,8.0,1
417,2024-02-23 23:00:00,8.0,1
418,2024-02-24 00:00:00,8.0,1
419,2024-02-24 01:00:00,0.0,1
420,2024-02-24 02:00:00,0.0,1
421,2024-02-24 03:00:00,0.0,1
422,2024-02-24 04:00:00,0.0,1
423,2024-02-24 05:00:00,0.0,1
424,2024-02-24 06:00:00,0.0,1
425,2024-02-24 07:00:00,0.0,1
426,2024-02-24 08:00:00,0.0,1
427,2024-02-24 09:00:00,0.0,1
428,2024-02-24 10:00:00,0.0,1
429,2024-02-24 11:00:00,0.0,1
430,2024-02-24 12:00:00,8.0,1
431,2024-02-24 13:00:00,4425.6,1
432,2024-02-24 14:00:00,8.0,1
433,2024-02-24 15:00:00,8.0,1
434,2024-02-24 16:00:00,3946.4,1
