sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BZX_Feeds_A","Canadian_feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NYSE_AMEX_OpenBook_A","TSX_Feeds_A","UTP_Feed_A"
1714741400000,271520,3630952,3047992,512,298544,0,3275728
1714741420000,174176,3000528,3283176,512,383088,,3860376
1714741440000,224208,2642624,3149632,512,425504,0,4233152
1714741460000,197040,4361712,3165016,512,203936,,3541728
1714741480000,131480,2775520,3531120,512,251584,,3260712
1714741500000,242592,4437168,4021952,512,435392,0,5164568
1714741520000,139696,2987568,3474776,512,294064,,4522496
1714741540000,233968,2932096,2519776,512,369152,,3954640
1714741560000,131680,4022792,3334768,512,390352,0,4610648
1714741580000,214120,3266048,2483824,512,273360,,4937384
1714741600000,408448,3405936,3097968,512,311488,,4315280
1714741620000,241552,3466832,4399504,512,361936,0,3812504
1714741640000,266136,2438040,5400992,512,237536,,3759152
1714741660000,253560,2389552,4008488,512,264848,,3148216
1714741680000,250192,2864232,4175464,512,223872,0,2831992
1714741700000,252112,2220992,4142320,512,221936,0,3421552
1714741720000,219152,1890080,3665768,512,182432,0,2772160
1714741740000,272216,3151768,4341088,512,349264,0,3898536
1714741760000,353320,3478360,5636512,512,403296,,4184072
1714741780000,179576,2874112,4583624,512,291008,,4062624
1714741800000,227792,3632528,5467584,512,334784,0,4108448
1714741820000,391280,3593512,3552008,512,414144,,4427712
1714741840000,218704,2658904,3841376,512,253600,0,3230656
1714741860000,131440,2270800,3804344,512,383280,0,3608784
1714741880000,168128,2736288,2772344,512,351856,0,3492992
1714741900000,112504,3000440,2986272,512,292672,,3524880
1714741920000,205720,4515064,5317976,512,418160,0,5159600
1714741940000,157632,4198464,2769952,512,432784,,3534528
1714741960000,147640,1441904,1786224,512,240032,0,3386744
1714741980000,226808,3441760,3145680,512,201088,6128,7171184
1714742000000,470872,4716008,11291672,512,378928,3064,7334624
1714742020000,184024,3639608,3426896,512,396512,2984,4432800
1714742040000,237336,2859944,3952040,512,218160,6120,4731992
1714742060000,171264,2092936,2941144,512,210992,3072,3184952
1714742080000,206368,1780080,3018040,512,224288,5968,3433896
1714742100000,106640,2855424,4300816,512,325904,6120,3567056
1714742120000,159536,4512312,3537632,512,481648,0,5913256
1714742140000,191952,2106512,4692424,512,219776,,2713872
1714742160000,282192,2097888,3929952,512,179568,0,2393144
1714742180000,166256,1806720,4359880,512,247136,2984,2361432
1714742200000,152944,1989488,3064152,512,250816,0,3217056
1714742220000,165832,2937528,5213984,512,270160,0,4636344
1714742240000,379784,4551352,9940304,512,437968,,4653024
1714742260000,209312,3284504,5266616,512,339568,0,4206240
1714742280000,260280,3067248,4836392,512,365536,9144,3405648
1714742300000,214592,2195456,5688216,512,336336,2976,2989152
1714742320000,323872,2874376,7448784,512,543952,3080,7631104
1714742340000,310136,4321720,11736296,512,323360,6120,3138976
1714742360000,139272,1851304,3606744,512,374400,,3035304
1714742380000,152040,2780880,5505072,512,240352,,3478976
1714742400000,131696,3034888,7424288,512,369168,0,2594696
1714742420000,308880,2276280,6155784,512,663728,2784,2831896
1714742440000,191744,2403536,6633344,512,397568,,3736880
1714742460000,339320,2456424,10454800,512,464720,0,3537272
1714742480000,325896,2462224,5442896,512,335024,,2931856
1714742500000,172640,1509680,3668808,512,404928,0,3068616
1714742520000,282104,2833184,8627272,512,462176,0,4034464
1714742540000,162504,1873624,5149320,512,240224,18384,2304976
1714742560000,234552,2202936,4597912,512,462960,0,3817592
1714742580000,172888,3374192,7590072,512,529184,6120,3065904
1714742600000,176800,2151600,5794560,512,281728,0,3316496
1714742620000,327320,2026656,6644992,512,214912,0,2723384
1714742640000,383288,2360880,12095496,512,395808,9192,6793008
1714742660000,197616,2033072,8259704,512,380976,0,3412656
1714742680000,1876216,1331464,7558992,512,1283376,,26146024
1714742700000,703800,10013232,40029080,512,709184,0,7918112
1714742720000,276160,2856672,8665904,512,348448,,3579720
1714742740000,368816,1616144,7032656,512,370544,,3706216
1714742760000,383936,3195784,13651640,512,512576,0,4923248
1714742780000,497472,2078304,9288864,512,294272,,4794168
1714742800000,1845536,2087976,11384088,512,521680,0,11797224
1714742820000,443736,5497992,40178192,512,756032,0,4225120
1714742840000,872616,2517248,5977456,512,1082480,0,17057072
1714742860000,1449760,5991752,15239424,512,783376,0,20566304
1714742880000,663248,7789400,36624248,512,471904,0,13940792
1714742900000,723960,9693528,24424096,512,352048,3000,8977512
1714742920000,517376,5144736,14212760,512,849312,5984,10564632
1714742940000,565096,6876712,18504448,512,2994928,17952,8648624
1714742960000,1147064,10972496,24350520,512,762384,29904,16018680
1714742980000,19876640,14918912,97950584,512,45796768,85069712,251100224
1714743000000,13152440,145807528,233835880,3281648,9353376,4616152,175726000
1714743020000,6403240,36753840,48273456,79536,7520608,1070736,70143224
1714743040000,11002416,35027552,60561880,26128,7542144,2360376,74348656
1714743060000,14862560,41089120,87301560,37856,8116352,2803792,63809424
1714743080000,12922320,35773008,69714296,32176,6693872,1742624,58618872
1714743100000,15491120,44845664,81572184,33232,8471696,2578304,69839264
1714743120000,14407256,37074112,77697720,58992,8845088,1375064,68664168
1714743140000,16081248,43571768,81181328,14112,7657840,1149728,71921792
1714743160000,20083600,27553296,51671712,12272,6525600,1025072,53895656
1714743180000,20663968,36660336,95967168,26080,7788944,1633120,52602320
1714743200000,19462328,34782296,106595840,30400,6976912,1335280,48069224
1714743220000,16708464,34598624,82084808,15472,7608944,918032,57923600
1714743240000,22001992,35600864,105421016,20032,5189232,1570936,50573184
1714743260000,14665488,23464720,70724016,15120,4777664,1268744,45865896
1714743280000,23466144,27084352,74007960,37376,9703904,1582664,97262288
1714743300000,32865160,54447240,116243096,19328,7579440,2148408,65011112
1714743320000,16801864,31382400,72845352,15824,5903040,884960,49891680
1714743340000,17905952,33339280,76060256,35200,7096176,2084464,72318336
1714743360000,30853288,38006960,106444888,14640,6653264,1500680,65884152
1714743380000,18789712,28888472,81578400,11088,5195024,926408,54194192
1714743400000,22259400,26495408,67586264,14704,8425952,1149560,90345352
1714743420000,20486048,48318944,95775680,21088,5770736,952920,59020032
1714743440000,21324072,28097368,88441368,18848,5242400,1479992,49831272
1714743460000,15176296,30552080,54544872,14112,5128448,891576,57481800
1714743480000,24962704,34385504,95438328,11616,6380720,1005528,63360512
1714743500000,19385440,24051736,70268384,14880,4081200,772128,46915216
1714743520000,20807672,27705504,89639336,15120,5452192,1035976,56360312
1714743540000,15331000,34348224,65891792,12096,5431056,902112,49464432
1714743560000,22323136,29039264,91408600,13104,4621696,1050160,51705320
1714743580000,24320552,22959864,58461480,14400,10488192,1193888,79313152
1714743600000,20768792,45112648,100480232,17136,5332016,850048,52869912
1714743620000,23166520,28710528,90407456,19328,4890544,1040992,57250032
1714743640000,23873264,25155464,64036608,19376,6572704,883256,77552136
1714743660000,22196480,39374544,91600016,14112,5893152,1128616,63716624
1714743680000,17053064,23072024,69681640,21216,3803504,1000264,51181128
1714743700000,36254880,37269344,77488216,14112,6942096,2578168,77320344
1714743720000,21841016,44174632,159322200,31424,6143232,1104384,73017344
1714743740000,13158856,25767320,54301072,19312,4489296,993640,41264120
1714743760000,14921224,25289456,52472168,10848,4288672,1115744,44458560
1714743780000,17423016,22406408,83368640,15120,4258608,1441464,41425528
1714743800000,15378296,21302656,41495872,10080,3833648,796648,42180432
1714743820000,15633232,27342928,60638392,16896,5013808,784000,52692496
1714743840000,9981232,19871800,42929664,13696,3728576,751120,43114168
1714743860000,11827560,21479248,46425552,15120,3450992,832224,39634920
1714743880000,46525752,23229936,78057760,13280,2351744,1958680,99629344
1714743900000,29675880,58441360,137978768,54256,1311568,1518408,42907256
1714743920000,26471008,45204000,108357632,18192,5635552,1081912,91988072
1714743940000,19953088,37404384,80833584,112640,6801664,2553600,78822272
1714743960000,27553488,44124528,83046440,22768,6661744,1373512,64479424
1714743980000,34458232,61348488,141355712,31520,7882256,1907856,108293440
1714744000000,30216600,46429064,133785744,17840,6598128,1370320,77875376
1714744020000,24768816,29129528,76273016,15296,4819936,1175616,49206176
1714744040000,12397760,25497960,50802096,11264,4086784,608384,48658888
1714744060000,26558736,27448008,54604888,16128,7167856,1150368,98182456
1714744080000,23682000,53555336,113638592,15296,4820336,1212024,62935400
1714744100000,19918080,34606184,64184192,20160,5496224,1215888,60345752
1714744120000,16830528,23930032,65089848,14880,4375840,618160,48794744
1714744140000,22152000,28299496,91023256,9664,4471712,1188544,51928144
1714744160000,17105896,30857192,69234392,17600,4743408,842272,54638432
1714744180000,15908128,20421776,44494640,16720,5439344,904920,70510832
1714744200000,23413072,37190616,97300920,11088,3747392,2146224,45675120
1714744220000,14792744,24008552,54870672,10080,3750160,1003616,42971024
1714744240000,12838584,19010760,33441360,8240,6153040,912424,57577040
1714744260000,24470856,45118728,91364288,17312,6161008,1412744,70468728
1714744280000,22968136,33273664,77810088,16720,4841440,1283928,46855552
1714744300000,10884696,23184976,48079912,28224,4227488,1058296,56245336
1714744320000,23934336,34853216,98257472,21936,5127216,1244304,60087368
1714744340000,25400160,31069264,97431992,18912,4570816,1642848,52304928
1714744360000,22557304,27329464,90216256,19504,3727136,1338672,43539040
1714744380000,27210008,57023312,98054528,21280,7190848,1791376,96413808
1714744400000,10180424,18556000,44944120,10256,2964336,738520,37268312
1714744420000,20489968,17074208,48110648,20336,3278848,929648,41813632
1714744440000,13736992,21398888,68091352,16944,3454656,1351200,36974960
1714744460000,9487504,21032032,40025888,11856,4381232,746784,46563752
1714744480000,24574992,27139112,97884664,30000,5362768,1843056,60690944
1714744500000,20126600,33316480,74074008,15056,4611712,1073024,49066752
1714744520000,10913896,23676544,44836544,11440,4153568,687544,42239640
1714744540000,14536992,30989176,60079864,9072,4875888,757488,50910216
1714744560000,8741096,21257736,36427416,15120,3430384,672048,37809176
1714744580000,8815808,18904136,34052512,11680,3060208,772856,39656568
1714744600000,19252336,25391112,74492560,35280,3966832,1786888,44844952
1714744620000,17810008,20043480,70055848,33440,3434160,1849080,35365784
1714744640000,12364368,21261568,49703304,20752,3643808,686888,44984680
1714744660000,8461024,20686048,34226784,11680,2559328,581136,31569248
1714744680000,5381144,11515016,24875664,10080,2381840,1208176,26137560
1714744700000,8189888,13806024,31486568,27984,2750400,601768,28154288
1714744720000,6809736,15950400,33133968,11088,3073552,668552,42558400
1714744740000,15317912,23260728,60049808,12272,3531472,647856,42412632
1714744760000,11364896,15850960,30480712,12688,4839952,638928,42256032
1714744780000,55822040,25779144,78609024,20160,2794848,20984960,188367968
1714744800000,28967472,117893960,185316448,142704,3153456,5558080,91752520
1714744820000,39537720,88234224,145575664,42864,10484928,4800856,157310728
1714744840000,17353176,57706144,99037136,12688,6635776,743536,70866528
1714744860000,32652872,46429496,146083848,27264,7355872,2744736,133041488
1714744880000,25293064,75224640,131389360,84816,8160064,2331960,99083720
1714744900000,22358984,73184472,105564784,19152,10161008,1745544,136778736
1714744920000,31258816,61599856,111681648,15824,8005472,1495720,107139280
1714744940000,43527800,58060224,123681448,14112,8226608,1508896,89864784
1714744960000,36292808,48804648,121273960,20512,6283856,1238760,79959704
1714744980000,43473664,94450376,154149088,37824,10832480,3264696,158725056
1714745000000,24937160,47039992,98979448,14288,4908544,1089688,85821408
1714745020000,21183912,39193488,82278248,10672,5612832,712184,67891656
1714745040000,24830112,49266144,101606464,8656,6904192,984232,86384968
1714745060000,32868928,64934024,134057288,35968,8748048,2168256,110112832
1714745080000,37217504,57587040,126814648,19328,9133376,1589376,112521776
1714745100000,16830872,44111080,78964688,14704,6327712,813160,77124936
1714745120000,31846368,57822352,115174464,11680,8251472,1282072,97887368
1714745140000,27169744,45719896,98145360,30560,6739872,784048,79752600
1714745160000,21758408,52881640,91789392,16128,4744640,1181464,93934544
1714745180000,15659960,36979264,56815184,11088,5767696,709464,65159584
1714745200000,19453736,41298096,84963880,11264,7507552,1046496,87273952
1714745220000,21174632,56808504,91141624,14112,6637456,859080,82425744
1714745240000,29076912,47978496,108734280,10080,6702896,785048,78805368
1714745260000,22470208,52153392,97178896,15296,7572976,1202648,83909656
1714745280000,27911384,63313480,113703880,20688,8550624,1056464,106195160
1714745300000,16332384,41268984,70959432,14112,5957312,763096,69188016
1714745320000,20171888,52465712,90836416,18192,7024640,1210024,91279256
1714745340000,35695304,55352568,110578640,15120,7494928,1020984,90117016
1714745360000,27489968,54421800,109106024,31152,7042608,802160,103495000
1714745380000,15111224,35600576,66551200,10672,5257872,1099144,62615968
1714745400000,27053960,55045120,104130328,31216,7429232,1195232,89212880
1714745420000,21244344,34732080,96680808,10368,4939088,795000,60603008
1714745440000,22520992,42408376,87310264,19744,6246896,974408,68642528
1714745460000,14814128,34707288,69158072,12272,4691280,1337408,57807824
1714745480000,30266232,63353392,107958432,21456,8446128,1601960,104965000
1714745500000,18173384,33395944,57637808,36720,4741872,647072,59610224
1714745520000,21720640,36601136,83359128,15120,10002304,1288384,135326072
1714745540000,31655736,73517064,128463200,21872,7925872,1518952,114420856
1714745560000,15788304,41134584,69951112,11968,7054480,1072440,107118216
1714745580000,33669208,63044872,123963720,37232,4953952,1935296,52950520
1714745600000,19154632,49001704,81724704,11616,7055904,741320,84712704
