sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CQS_Pillar_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","CTS_Pillard_Feeds_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1707321600000,73086.40000000001,69728.8,230656,104327.20000000001,65404.8,165316,264224,19.200000000000003,19224.8,20.8,129125.6,788,152456.80000000002,55036.8,122263.20000000001,84737.6,108,27823.2,704447.2000000001,23241.600000000002,273028,75507.2,17.6,21221.600000000002,127298.40000000001,66772.8,33253.6,24486.4,20412,1990.4,1072.8,77834.40000000001,686.4000000000001,309058.4,340453.60000000003
1707325200000,46527.200000000004,50560.8,146496.80000000002,66295.2,49688.8,103876,158728,19.200000000000003,13187.2,20.8,82176.8,475.20000000000005,123319.20000000001,34450.4,76380,44838.4,64,17000.8,497149.60000000003,16695.2,173890.40000000002,62550.4,19.200000000000003,12548,90776.8,49394.4,21800.800000000003,20424,12504.800000000001,1199.2,1142.4,50724,521.6,250406.40000000002,254649.6
1707328800000,136644.80000000002,144182.4,374801.60000000003,170493.6,113972.8,228175.2,640212.8,19.200000000000003,43112.8,20.8,287936,232,212576.80000000002,125111.20000000001,178102.40000000002,98784,126.4,50054.4,1341485.6,29642.4,422107.2,163460,17.6,26236.800000000003,211328.80000000002,121744.8,72655.2,84642.40000000001,35862.4,3784.8,6040,186716,704,654160,681476
1707332400000,38876,42268,160480.80000000002,48987.200000000004,36610.4,112798.40000000001,120991.20000000001,19.200000000000003,10812.800000000001,20.8,69044,313.6,122641.6,40302.4,87263.20000000001,52421.600000000006,60.800000000000004,15520.800000000001,435253.60000000003,16121.6,182709.6,56571.200000000004,101.60000000000001,15067.2,101257.6,38971.200000000004,18106.4,24737.600000000002,10590.400000000001,996,973.6,42657.600000000006,652.8000000000001,239325.6,227591.2
1707336000000,95672.8,294848.8,511576,137440,148564.80000000002,229370.40000000002,455592,19.200000000000003,49472.8,20.8,307255.2,1081.6000000000001,313554.4,87884,187988,146124,156,47572.8,1373672,39838.4,519424,305988.8,11752.800000000001,87237.6,333009.60000000003,215748,58763.200000000004,147296,25922.4,3572,34042.4,226616.80000000002,20856,1057773.6,945233.6000000001
1707339600000,29296.800000000003,24355.2,109876,5949.6,8894.4,20668.800000000003,28854.4,19.200000000000003,1241.6000000000001,20.8,90356,130.4,5013.6,2040,7908,392,8,1510.4,133449.6,3160,91734.40000000001,1212,640,3279.2000000000003,199.20000000000002,43878.4,4588.8,9251.2,1041.6000000000001,31.200000000000003,120,43289.600000000006,8449.6,288010.4,70976.8
1707343200000,21699.2,456.8,1439.2,2.4000000000000004,726.4000000000001,4574.400000000001,26708,19.200000000000003,344.8,20.8,451.20000000000005,407.20000000000005,16,0,1469.6000000000001,432.8,8,8,9164.800000000001,235.20000000000002,33200,488,16,385.6,4,5488.8,8,6735.200000000001,2.4000000000000004,1.6,2.4000000000000004,1.6,1.6,13757.6,6747.200000000001
1707346800000,132.8,1234.4,1768,2.4000000000000004,644.8000000000001,1652,12,19.200000000000003,16.8,20.8,4,8,,,640,384,8,8,6109.6,259.2,12507.2,277.6,16.8,641.6,4,6317.6,8,8233.6,1.6,1.6,2.4000000000000004,1.6,1.6,3580,5675.200000000001
1707350400000,,1089.6000000000001,2532,2.4000000000000004,891.2,11420.800000000001,44,19.200000000000003,30.400000000000002,20.8,4,8,,,1165.6000000000001,384,8,8,37702.4,2678.4,11826.400000000001,4480,1426.4,4578.400000000001,4,8,8,4030.4,2.4000000000000004,2.4000000000000004,2.4000000000000004,1.6,1.6,43312.8,5549.6
1707354000000,,237.60000000000002,299.2,2.4000000000000004,236.8,244,12,19.200000000000003,8,20.8,,408,,,8,384,,,38.400000000000006,3.2,112,48,16,48,4,,,6536.8,1.6,1.6,2.4000000000000004,,,8,96
