sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1714738030000,10.4,1165.6000000000001,2897.6000000000004,7.2,935.2,4317.6,64.8,28,112,8,869.6,96,2398.4,384,8,9.600000000000001,7530.400000000001,328,8140.8,313.6,44,948.8000000000001,1040,1167.2,8,228.8,1.6,1.6,0,40,11.200000000000001,5400,4843.2
1714738040000,4.800000000000001,1852,3588,10.4,988,4351.2,60.800000000000004,38.400000000000006,56.800000000000004,8.8,878.4000000000001,96,1425.6000000000001,384,8,8,11119.2,381.6,5302.400000000001,398.40000000000003,55.2,299.2,3838.4,1709.6000000000001,8,239.20000000000002,3.2,1.6,,48,7.2,7682.400000000001,5504
1714738050000,7.2,884.8000000000001,2122.4,16.8,657.6,3500,88,32,120,7.2,148.8,96,1781.6000000000001,384,8,10.4,6304.8,177.60000000000002,5431.200000000001,285.6,59.2,194.4,728.8000000000001,1014.4000000000001,8,378.40000000000003,2.4000000000000004,1.6,,52,8.8,4529.6,3725.6000000000004
1714738060000,4.800000000000001,1406.4,2972,24.8,920,3697.6000000000004,105.60000000000001,41.6,156,8,58.400000000000006,96,1360,384,8,9.600000000000001,9398.4,233.60000000000002,5078.400000000001,340,53.6,770.4000000000001,593.6,986.4000000000001,8,271.2,2.4000000000000004,1.6,,80.80000000000001,7.2,6665.6,5332
1714738070000,4.800000000000001,1037.6000000000001,2512,12,684.8000000000001,3040.8,80,17.6,69.60000000000001,16,1391.2,96,1376.8000000000002,384,8,8,6652.8,226.4,4534.400000000001,282.40000000000003,40,326.40000000000003,277.6,1353.6000000000001,8,299.2,6.4,1.6,,63.2,6.4,4716,3662.4
1714738080000,8,1032.8,2267.2000000000003,11.200000000000001,608.8000000000001,3028.8,44,24,92.80000000000001,8,380,96,1468,384,8,10.4,7814.400000000001,219.20000000000002,4282.400000000001,263.2,41.6,160,293.6,1005.6,8,243.20000000000002,1.6,1.6,2.4000000000000004,30.400000000000002,8,5399.200000000001,3672
1714738090000,4.800000000000001,619.2,2783.2000000000003,12.8,364.8,2367.2000000000003,33.6,33.6,84.80000000000001,8,142.4,96,1188,384,8,8,4658.400000000001,65.60000000000001,4083.2000000000003,208,33.6,131.20000000000002,152.8,783.2,8,248,3.2,1.6,0,12,4,3145.6000000000004,2717.6000000000004
1714738100000,6.4,1004.8000000000001,2038.4,23.200000000000003,668,3596,67.2,47.2,42.400000000000006,8,161.60000000000002,96,1457.6000000000001,384,8,9.600000000000001,6878.400000000001,219.20000000000002,5340.8,317.6,36,274.40000000000003,324,942.4000000000001,8,299.2,2.4000000000000004,1.6,,33.6,5.6000000000000005,4929.6,4055.2000000000003
1714738110000,5.6000000000000005,901.6,2708.8,4.800000000000001,531.2,4606.400000000001,75.2,27.200000000000003,96.80000000000001,8,180.8,96,2116.8,384,8,8,5840.8,144,6532.8,296.8,36.800000000000004,335.20000000000005,360.8,828.8000000000001,8,254.4,3.2,1.6,,13.600000000000001,24,3580,2723.2000000000003
1714738120000,6.4,1460.8000000000002,3952.8,11.200000000000001,782.4000000000001,3703.2000000000003,188.8,26.400000000000002,212,8,256.8,96,1392,384,8,8,10176,316.8,4451.2,348,30.400000000000002,226.4,314.40000000000003,1446.4,8,282.40000000000003,3.2,1.6,,141.6,9.600000000000001,6575.200000000001,5180.8
1714738130000,4,945.6,2640.8,10.4,513.6,4279.2,36,28.8,29.6,8,81.60000000000001,96,1717.6000000000001,384,8,8.8,7103.200000000001,142.4,6914.400000000001,339.20000000000005,35.2,756,279.2,912.8000000000001,8,224.8,3.2,1.6,,18.400000000000002,4,5339.200000000001,3964
1714738140000,7.2,1548,3429.6000000000004,17.6,1204.8,3685.6000000000004,67.2,46.400000000000006,110.4,8,1065.6000000000001,96,1812,384,8,8.8,9826.4,412,5908,336.8,35.2,794.4000000000001,399.20000000000005,1605.6000000000001,8,282.40000000000003,2.4000000000000004,1.6,3.2,40.800000000000004,1.6,7055.200000000001,5786.400000000001
1714738150000,8,1174.4,3125.6000000000004,24.8,779.2,3999.2000000000003,56.800000000000004,40,86.4,8,988.8000000000001,96,1752.8000000000002,384,8,8.8,7934.400000000001,267.2,6652.8,249.60000000000002,28.8,450.40000000000003,290.40000000000003,1612.8000000000002,8,250.4,1.6,1.6,0,24,5.6000000000000005,5330.400000000001,4826.400000000001
1714738160000,8.8,1749.6000000000001,3099.2000000000003,12,835.2,4698.400000000001,144,24,139.20000000000002,8,346.40000000000003,96,1848.8000000000002,384,8,8.8,9632,314.40000000000003,6869.6,382.40000000000003,34.4,336,968.8000000000001,1485.6000000000001,8,276,2.4000000000000004,1.6,,124.80000000000001,8,7440,4517.6
1714738170000,5.6000000000000005,1142.4,3581.6000000000004,10.4,550.4,3412.8,28,24,87.2,8,147.20000000000002,96,1136,384,8,8.8,6351.200000000001,176,3833.6000000000004,278.40000000000003,40,204.8,323.20000000000005,1315.2,8,241.60000000000002,2.4000000000000004,1.6,,15.200000000000001,1.6,4647.2,4397.6
1714738180000,8.8,916.8000000000001,2154.4,9.600000000000001,623.2,5048.8,108.80000000000001,40,79.2,8,84.80000000000001,96,1508,384,8,10.4,5963.200000000001,177.60000000000002,6283.200000000001,254.4,35.2,358.40000000000003,457.6,653.6,8,259.2,2.4000000000000004,1.6,,21.6,4.800000000000001,4331.2,3837.6000000000004
1714738190000,8.8,1111.2,3139.2000000000003,12.8,677.6,3259.2000000000003,52.800000000000004,24.8,106.4,8,107.2,96,1520.8000000000002,384,8,7.2,7524.8,223.20000000000002,5724.8,341.6,184,319.20000000000005,9604.800000000001,1199.2,8,210.4,2.4000000000000004,1.6,,95.2,4,6692.8,5523.200000000001
1714738200000,4.800000000000001,927.2,3373.6000000000004,5.6000000000000005,508.8,4392.8,33.6,37.6,77.60000000000001,8,106.4,96,1460.8000000000002,384,8,8,7306.400000000001,182.4,5200.8,308,540.8000000000001,271.2,1238.4,924.8000000000001,8,212,1.6,1.6,2.4000000000000004,15.200000000000001,3.2,5804.8,4578.400000000001
1714738210000,5.6000000000000005,896,2746.4,11.200000000000001,560,4355.2,40.800000000000004,24.8,89.60000000000001,8,175.20000000000002,96,1691.2,384,8,8,6433.6,151.20000000000002,6056,268.8,83.2,271.2,556,868.8000000000001,8,241.60000000000002,1.6,1.6,0,12,3.2,5600,4861.6
1714738220000,7.2,1030.4,3397.6000000000004,9.600000000000001,664,3372,394.40000000000003,38.400000000000006,85.60000000000001,8,50.400000000000006,96,1432.8000000000002,384,8,8,7999.200000000001,195.20000000000002,4918.400000000001,360.8,97.60000000000001,435.20000000000005,536.8000000000001,831.2,8,224.8,1.6,1.6,,73.60000000000001,4,6737.6,4956.8
